grant_no,title,abstract,program_area,fiscal_year,amount_usd,awardee,org_unit,classification_band,batch_id,created_at
ONRD-2023-AUTO-00190,Energy-Efficient Approaches to GPS-denied Waypoint Following via Model-predictive Control,"This effort develops model-predictive control to address persistent degraded communications-driven challenges in GPS-denied waypoint following. Research activities include algorithm development, behavior-tree mission planning integration, and iterative field evaluation to quantify gains in time-to-reroute. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback.",Autonomy,2023,146000,Summit State University,Code-30,CUI-Mock,seed-initial-2026,2023-04-25T09:29:11+00:00
ONRD-2023-AUTO-00191,Phase III: Distributed Task Allocation for Contested-environment Navigation,This effort develops distributed task allocation to address persistent swarm resilience-driven challenges in contested-environment navigation. The team will conduct a phased study combining cooperative multi-vehicle routing with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback.,Autonomy,2023,1357000,University of Halcyon,Code-30,CUI-Mock,seed-initial-2026,2023-06-14T15:48:06+00:00
ONRD-2023-AUTO-00192,Scalable Onboard Perception-to-action Pipelines for Unmanned Surface Vessel (USV) Picket Lines,This effort develops onboard perception-to-action pipelines to address persistent onboard compute limits-driven challenges in unmanned surface vessel (USV) picket lines. The team will conduct a phased study combining behavior-tree mission planning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in swarm coordination overhead and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is autonomy assurance; the performer will mitigate this through early prototyping and government checkpoint reviews.,Autonomy,2023,934000,Beacon Labs,Code-34,CUI-Mock,seed-initial-2026,2023-07-20T12:27:34+00:00
ONRD-2023-CYBR-00193,Adversarial Machine-learning Defense for Cross-domain Solution Assurance,"This effort develops adversarial machine-learning defense to address persistent cyber-physical resilience-driven challenges in cross-domain solution assurance. The performer will design, implement, and evaluate a prototype capability, validating performance against zero-day exposure-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is cyber-physical resilience; the performer will mitigate this through early prototyping and government checkpoint reviews.",Cyber,2023,525000,Farview Applied Research LLC,Code-32,CUI-Mock,seed-initial-2026,2023-03-02T10:07:01+00:00
ONRD-2023-AUTO-00194,Phase III: Distributed Task Allocation for GPS-denied Waypoint Following,"This effort develops distributed task allocation to address persistent autonomy assurance-driven challenges in GPS-denied waypoint following. The performer will design, implement, and evaluate a prototype capability, validating performance against degraded communications-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback. Key technical risks include onboard compute limits and constrained degraded communications, which will be tracked via quarterly milestone reviews.",Autonomy,2023,710000,Beacon Institute of Technology,Code-30,CUI-Mock,seed-initial-2026,2023-05-29T18:12:46+00:00
ONRD-2023-MATL-00195,Advancing corrosion-resistant coating development to Improve lightweight airframe structures,"This effort develops corrosion-resistant coating development to address persistent corrosion rate-driven challenges in lightweight airframe structures. The performer will design, implement, and evaluate a prototype capability, validating performance against fracture toughness-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is corrosion rate; the performer will mitigate this through early prototyping and government checkpoint reviews.",Materials,2023,67000,Farview College of Engineering,Code-34,CUI-Mock,seed-initial-2026,2022-12-08T08:18:33+00:00
ONRD-2023-AUTO-00196,Toward low-latency behavior-tree mission planning: Implications for group unmanned aerial system (UAS) reconnaissance,"This effort develops behavior-tree mission planning to address persistent autonomy assurance-driven challenges in group unmanned aerial system (UAS) reconnaissance. The performer will design, implement, and evaluate a prototype capability, validating performance against swarm resilience-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback.",Autonomy,2023,2919000,"Sable Systems, Inc.",Code-31,CUI-Mock,seed-initial-2026,2023-06-01T15:22:12+00:00
ONRD-2023-QNTM-00197,Modular Quantum Key Distribution Protocol Design for Precision Timing for Distributed Platforms,"This effort develops quantum key distribution protocol design to address persistent decoherence-driven challenges in precision timing for distributed platforms. The performer will design, implement, and evaluate a prototype capability, validating performance against qubit fidelity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in sensor sensitivity and a documented transition path informed by operational stakeholder feedback.",Quantum,2023,2909000,Copperline Defense Technologies,Code-35,CUI-Mock,seed-initial-2026,2023-03-11T18:01:33+00:00
ONRD-2023-AIML-00198,Toward robust explainable neural inference: Implications for sensor fusion for contested environments,This effort develops explainable neural inference to address persistent edge deployment-driven challenges in sensor fusion for contested environments. The team will conduct a phased study combining graph neural network reasoning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback.,AI/ML,2023,132000,Copperline Dynamics Corp.,Code-34,CUI-Mock,seed-initial-2026,2023-02-04T13:17:52+00:00
ONRD-2023-AIML-00199,Resilient Approaches to Natural-language Mission Planning via Transformer-based Sequence Modeling,This effort develops transformer-based sequence modeling to address persistent latency-driven challenges in natural-language mission planning. The team will conduct a phased study combining human-machine teaming policy optimization with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in inference latency and a documented transition path informed by operational stakeholder feedback.,AI/ML,2023,1389000,Northgate Advanced Systems Group,Code-34,Public-Mock,seed-initial-2026,2022-10-24T14:19:42+00:00
ONRD-2023-MATL-00200,Advancing composite laminate fatigue characterization to Improve hull coating for biofouling resistance,"This effort develops composite laminate fatigue characterization to address persistent fracture toughness-driven challenges in hull coating for biofouling resistance. Research activities include algorithm development, corrosion-resistant coating development integration, and iterative field evaluation to quantify gains in specific strength. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is specific strength; the performer will mitigate this through early prototyping and government checkpoint reviews.",Materials,2023,233000,Amberfield Advanced Systems Group,Code-35,CUI-Mock,seed-initial-2026,2023-05-07T13:43:23+00:00
ONRD-2023-DEWX-00201,Resilient Approaches to Directed-energy Weapon Test-bed Evaluation via High-power Microwave Source Design,"This effort develops high-power microwave source design to address persistent power density-driven challenges in directed-energy weapon test-bed evaluation. The performer will design, implement, and evaluate a prototype capability, validating performance against duty-cycle limits-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in beam quality factor and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is thermal blooming; the performer will mitigate this through early prototyping and government checkpoint reviews.",Directed Energy,2023,5602000,Bluewater Polytechnic University,Code-31,CUI-Mock,seed-initial-2026,2023-07-25T16:11:09+00:00
ONRD-2023-BIOT-00202,Advancing microbiome-based biofouling mitigation to Improve cold-chain-free vaccine stabilization,"This effort develops microbiome-based biofouling mitigation to address persistent field ruggedization-driven challenges in cold-chain-free vaccine stabilization. Research activities include algorithm development, field-deployable diagnostic assay development integration, and iterative field evaluation to quantify gains in shelf stability. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback.",Biotech,2023,79000,Foxglove Defense Technologies,Code-35,CUI-Mock,seed-initial-2026,2023-04-05T11:51:05+00:00
ONRD-2023-CYBR-00203,High-Fidelity Anomaly-based Intrusion Detection for Cross-domain Solution Assurance,"This effort develops anomaly-based intrusion detection to address persistent cyber-physical resilience-driven challenges in cross-domain solution assurance. The performer will design, implement, and evaluate a prototype capability, validating performance against zero-day exposure-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback.",Cyber,2023,3125000,Summit College of Engineering,Code-35,CUI-Mock,seed-initial-2026,2023-05-25T07:55:56+00:00
ONRD-2023-DEWX-00204,Phase II: Adaptive Optics Wavefront Correction for Shipboard Self-defense Layers,"This effort develops adaptive optics wavefront correction to address persistent duty-cycle limits-driven challenges in shipboard self-defense layers. Research activities include algorithm development, thermal management for solid-state lasers integration, and iterative field evaluation to quantify gains in engagement range. Expected outcomes include a measurable improvement in engagement range and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2023,52000,Sable Polytechnic University,ONR-Corporate,CUI-Mock,seed-initial-2026,2022-11-27T07:21:16+00:00
ONRD-2024-AIML-00205,Phase III: Human-machine Teaming Policy Optimization for Predictive Maintenance for Shipboard Systems,"This effort develops human-machine teaming policy optimization to address persistent latency-driven challenges in predictive maintenance for shipboard systems. Research activities include algorithm development, explainable neural inference integration, and iterative field evaluation to quantify gains in false-alarm rate. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback.",AI/ML,2024,896000,"Windrose Systems, Inc.",ONR-Corporate,CUI-Mock,seed-initial-2026,2024-09-08T17:46:42+00:00
ONRD-2024-USEA-00206,Phase III: Hydrodynamic Hull-form Optimization for Undersea Cable Route Surveying,"This effort develops hydrodynamic hull-form optimization to address persistent acoustic signature reduction-driven challenges in undersea cable route surveying. Research activities include algorithm development, synthetic aperture sonar imaging integration, and iterative field evaluation to quantify gains in signal-to-noise ratio. Expected outcomes include a measurable improvement in signal-to-noise ratio and a documented transition path informed by operational stakeholder feedback.",Undersea,2024,7039000,"Stonebridge Systems, Inc.",Code-32,CUI-Mock,seed-initial-2026,2023-11-22T17:08:12+00:00
ONRD-2024-MATL-00207,Modular Approaches to Thermal-protection Systems for Hypersonic Platforms via Self-healing Polymer Synthesis,"This effort develops self-healing polymer synthesis to address persistent specific strength-driven challenges in thermal-protection systems for hypersonic platforms. The team will conduct a phased study combining high-entropy alloy design with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback. Key technical risks include fatigue life and constrained fracture toughness, which will be tracked via quarterly milestone reviews.",Materials,2024,2680000,Beacon Analytics Inc.,Code-32,CUI-Mock,seed-initial-2026,2023-10-04T10:57:50+00:00
ONRD-2024-AIML-00208,Toward energy-efficient graph neural network reasoning: Implications for natural-language mission planning,"This effort develops graph neural network reasoning to address persistent model drift-driven challenges in natural-language mission planning. The performer will design, implement, and evaluate a prototype capability, validating performance against trust calibration-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in operator trust score and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is trust calibration; the performer will mitigate this through early prototyping and government checkpoint reviews.",AI/ML,2024,872000,Bluewater Institute of Technology,Code-30,CUI-Mock,seed-initial-2026,2024-08-11T10:08:46+00:00
ONRD-2024-DEWX-00209,Modular Adaptive Optics Wavefront Correction for Directed-energy Weapon Test-bed Evaluation,This effort develops adaptive optics wavefront correction to address persistent thermal blooming-driven challenges in directed-energy weapon test-bed evaluation. The team will conduct a phased study combining thermal management for solid-state lasers with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in beam quality factor and a documented transition path informed by operational stakeholder feedback.,Directed Energy,2024,231000,Silverline Applied Research LLC,Code-30,CUI-Mock,seed-initial-2026,2024-04-18T13:15:05+00:00
ONRD-2024-MATL-00210,Adaptive Additive Manufacturing Process Qualification for Lightweight Airframe Structures,"This effort develops additive manufacturing process qualification to address persistent specific strength-driven challenges in lightweight airframe structures. Research activities include algorithm development, composite laminate fatigue characterization integration, and iterative field evaluation to quantify gains in fatigue life. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback.",Materials,2024,667000,Farview Polytechnic University,Code-32,CUI-Mock,seed-initial-2026,2024-05-18T18:52:09+00:00
ONRD-2024-MATL-00211,Phase II: Corrosion-resistant Coating Development for Thermal-protection Systems for Hypersonic Platforms,"This effort develops corrosion-resistant coating development to address persistent specific strength-driven challenges in thermal-protection systems for hypersonic platforms. The performer will design, implement, and evaluate a prototype capability, validating performance against corrosion rate-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback.",Materials,2024,829000,Sable State University,Code-32,CUI-Mock,seed-initial-2026,2024-09-06T13:33:37+00:00
ONRD-2024-AUTO-00212,Field-Deployable Behavior-tree Mission Planning for Contested-environment Navigation,This effort develops behavior-tree mission planning to address persistent degraded communications-driven challenges in contested-environment navigation. The team will conduct a phased study combining distributed task allocation with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback.,Autonomy,2024,193000,Granite Robotics Corp.,ONR-Corporate,CUI-Mock,seed-initial-2026,2023-11-28T10:34:59+00:00
ONRD-2024-CYBR-00213,Energy-Efficient Approaches to Shipboard Combat-system Network Hardening via Secure Software-defined Networking,"This effort develops secure software-defined networking to address persistent attack surface-driven challenges in shipboard combat-system network hardening. Research activities include algorithm development, supply-chain firmware attestation integration, and iterative field evaluation to quantify gains in attack-surface reduction. Expected outcomes include a measurable improvement in attack-surface reduction and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is zero-day exposure; the performer will mitigate this through early prototyping and government checkpoint reviews.",Cyber,2024,717000,Farview Dynamics Corp.,Code-32,CUI-Mock,seed-initial-2026,2024-09-13T18:00:33+00:00
ONRD-2024-USEA-00214,Phase II: Hydrodynamic Hull-form Optimization for Submarine Detection and Tracking,"This effort develops hydrodynamic hull-form optimization to address persistent acoustic signature reduction-driven challenges in submarine detection and tracking. Research activities include algorithm development, low-frequency active sonar waveform design integration, and iterative field evaluation to quantify gains in localization error. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback.",Undersea,2024,133000,Redshift Defense Technologies,Code-32,CUI-Mock,seed-initial-2026,2024-02-19T14:24:17+00:00
ONRD-2024-CYBR-00215,Adversarial Machine-learning Defense for Industrial-control-system (ICS) Protection for Propulsion Systems,"This effort develops adversarial machine-learning defense to address persistent cyber-physical resilience-driven challenges in industrial-control-system (ICS) protection for propulsion systems. Research activities include algorithm development, supply-chain firmware attestation integration, and iterative field evaluation to quantify gains in patch latency. Expected outcomes include a measurable improvement in patch latency and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is lateral movement; the performer will mitigate this through early prototyping and government checkpoint reviews.",Cyber,2024,122000,Windrose Robotics Corp.,Code-32,CUI-Mock,seed-initial-2026,2024-01-28T18:33:21+00:00
ONRD-2024-AIML-00216,Modular Approaches to Sensor Fusion for Contested Environments via Human-machine Teaming Policy Optimization,"This effort develops human-machine teaming policy optimization to address persistent training-data scarcity-driven challenges in sensor fusion for contested environments. The performer will design, implement, and evaluate a prototype capability, validating performance against trust calibration-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in inference latency and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is edge deployment; the performer will mitigate this through early prototyping and government checkpoint reviews.",AI/ML,2024,2836000,Cobalt Dynamics Corp.,Code-31,CUI-Mock,seed-initial-2026,2024-08-16T15:48:40+00:00
ONRD-2024-BIOT-00217,Field-Deployable Synthetic Biology Pathway Engineering for Warfighter Fatigue and Readiness Monitoring,"This effort develops synthetic biology pathway engineering to address persistent biomarker specificity-driven challenges in warfighter fatigue and readiness monitoring. Research activities include algorithm development, biomarker-based fatigue detection integration, and iterative field evaluation to quantify gains in assay sensitivity. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is physiological baseline; the performer will mitigate this through early prototyping and government checkpoint reviews.",Biotech,2024,3763000,Granite Applied Research LLC,Code-30,CUI-Mock,seed-initial-2026,2024-04-02T10:53:20+00:00
ONRD-2024-MATL-00218,Advancing additive manufacturing process qualification to Improve thermal-protection systems for hypersonic platforms,"This effort develops additive manufacturing process qualification to address persistent specific strength-driven challenges in thermal-protection systems for hypersonic platforms. Research activities include algorithm development, corrosion-resistant coating development integration, and iterative field evaluation to quantify gains in corrosion rate. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback.",Materials,2024,5983000,University of Pelican,Code-35,CUI-Mock,seed-initial-2026,2024-03-21T12:12:10+00:00
ONRD-2024-MATL-00219,Advancing composite laminate fatigue characterization to Improve hull coating for biofouling resistance,"This effort develops composite laminate fatigue characterization to address persistent corrosion rate-driven challenges in hull coating for biofouling resistance. The performer will design, implement, and evaluate a prototype capability, validating performance against fatigue life-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is specific strength; the performer will mitigate this through early prototyping and government checkpoint reviews.",Materials,2024,79000,Duskwater Defense Technologies,Code-34,CUI-Mock,seed-initial-2026,2024-02-08T17:26:14+00:00
ONRD-2024-CYBR-00220,Phase I: Adversarial Machine-learning Defense for Industrial-control-system (ICS) Protection for Propulsion Systems,"This effort develops adversarial machine-learning defense to address persistent attack surface-driven challenges in industrial-control-system (ICS) protection for propulsion systems. The team will conduct a phased study combining anomaly-based intrusion detection with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in attack-surface reduction and a documented transition path informed by operational stakeholder feedback. Key technical risks include attack surface and constrained cyber-physical resilience, which will be tracked via quarterly milestone reviews.",Cyber,2024,975000,Cinderpoint Robotics Corp.,Code-32,CUI-Mock,seed-initial-2026,2023-11-05T10:11:35+00:00
ONRD-2024-MATL-00221,Toward adaptive composite laminate fatigue characterization: Implications for hull coating for biofouling resistance,"This effort develops composite laminate fatigue characterization to address persistent specific strength-driven challenges in hull coating for biofouling resistance. The performer will design, implement, and evaluate a prototype capability, validating performance against corrosion rate-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback.",Materials,2024,2923000,University of Longview,ONR-Corporate,CUI-Mock,seed-initial-2026,2024-09-08T14:07:11+00:00
ONRD-2024-AIML-00222,Next-Generation Multi-agent Reinforcement Learning for Command-and-control Decision Support,"This effort develops multi-agent reinforcement learning to address persistent model drift-driven challenges in command-and-control decision support. The performer will design, implement, and evaluate a prototype capability, validating performance against training-data scarcity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback. Key technical risks include model drift and constrained training-data scarcity, which will be tracked via quarterly milestone reviews.",AI/ML,2024,859000,"Windrose Systems, Inc.",Code-32,CUI-Mock,seed-initial-2026,2024-07-17T08:47:05+00:00
ONRD-2024-MATL-00223,Toward scalable additive manufacturing process qualification: Implications for battery electrode materials,This effort develops additive manufacturing process qualification to address persistent fracture toughness-driven challenges in battery electrode materials. The team will conduct a phased study combining composite laminate fatigue characterization with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback.,Materials,2024,194000,Granite Analytics Inc.,Code-34,CUI-Mock,seed-initial-2026,2024-01-12T13:27:53+00:00
ONRD-2024-DEWX-00224,Energy-Efficient Approaches to Counter-unmanned Aerial System (C-UAS) Engagement via High-energy Laser Beam Control,"This effort develops high-energy laser beam control to address persistent power density-driven challenges in counter-unmanned aerial system (C-UAS) engagement. Research activities include algorithm development, thermal management for solid-state lasers integration, and iterative field evaluation to quantify gains in duty cycle. Expected outcomes include a measurable improvement in duty cycle and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2024,2027000,Cobalt Dynamics Corp.,Code-35,CUI-Mock,seed-initial-2026,2024-03-26T13:51:37+00:00
ONRD-2024-USEA-00225,Next-Generation Low-frequency Active Sonar Waveform Design for Seabed Mapping,"This effort develops low-frequency active sonar waveform design to address persistent acoustic signature reduction-driven challenges in seabed mapping. Research activities include algorithm development, undersea acoustic communications integration, and iterative field evaluation to quantify gains in localization error. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is acoustic signature reduction; the performer will mitigate this through early prototyping and government checkpoint reviews.",Undersea,2024,211000,Cobalt Labs,Code-30,Public-Mock,seed-initial-2026,2024-03-29T07:14:06+00:00
ONRD-2024-USEA-00226,Advancing autonomous underwater vehicle (AUV) navigation to Improve seabed mapping,"This effort develops autonomous underwater vehicle (AUV) navigation to address persistent depth-rated housings-driven challenges in seabed mapping. The performer will design, implement, and evaluate a prototype capability, validating performance against ambient ocean noise-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback.",Undersea,2024,986000,Vantage Defense Technologies,Code-35,CUI-Mock,seed-initial-2026,2024-04-21T12:16:20+00:00
ONRD-2024-QNTM-00227,Advancing photonic quantum sensing to Improve secure fleet communications,"This effort develops photonic quantum sensing to address persistent decoherence-driven challenges in secure fleet communications. Research activities include algorithm development, trapped-ion qubit control integration, and iterative field evaluation to quantify gains in key generation rate. Expected outcomes include a measurable improvement in key generation rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is decoherence; the performer will mitigate this through early prototyping and government checkpoint reviews.",Quantum,2024,1002000,Halcyon Robotics Corp.,Code-31,CUI-Mock,seed-initial-2026,2024-05-30T11:24:42+00:00
ONRD-2024-AUTO-00228,Phase I: Onboard Perception-to-action Pipelines for Contested-environment Navigation,"This effort develops onboard perception-to-action pipelines to address persistent autonomy assurance-driven challenges in contested-environment navigation. The performer will design, implement, and evaluate a prototype capability, validating performance against onboard compute limits-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in swarm coordination overhead and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is swarm resilience; the performer will mitigate this through early prototyping and government checkpoint reviews.",Autonomy,2024,124000,Copperline Advanced Systems Group,ONR-Corporate,CUI-Mock,seed-initial-2026,2024-04-01T09:58:52+00:00
ONRD-2024-AIML-00229,"Advancing explainable neural inference to Improve intelligence, surveillance, and reconnaissance (ISR) triage","This effort develops explainable neural inference to address persistent edge deployment-driven challenges in intelligence, surveillance, and reconnaissance (ISR) triage. Research activities include algorithm development, human-machine teaming policy optimization integration, and iterative field evaluation to quantify gains in inference latency. Expected outcomes include a measurable improvement in inference latency and a documented transition path informed by operational stakeholder feedback. Key technical risks include trust calibration and constrained edge deployment, which will be tracked via quarterly milestone reviews.",AI/ML,2024,977000,Longview Advanced Systems Group,Code-30,CUI-Mock,seed-initial-2026,2024-04-12T13:49:41+00:00
ONRD-2024-AIML-00230,Graph Neural Network Reasoning for Sensor Fusion for Contested Environments,"This effort develops graph neural network reasoning to address persistent edge deployment-driven challenges in sensor fusion for contested environments. The performer will design, implement, and evaluate a prototype capability, validating performance against training-data scarcity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is model drift; the performer will mitigate this through early prototyping and government checkpoint reviews.",AI/ML,2024,486000,Foxglove Labs,Code-34,CUI-Mock,seed-initial-2026,2024-01-01T18:19:56+00:00
ONRD-2024-QNTM-00231,Toward adaptive quantum error-correction code development: Implications for secure fleet communications,"This effort develops quantum error-correction code development to address persistent decoherence-driven challenges in secure fleet communications. The performer will design, implement, and evaluate a prototype capability, validating performance against qubit fidelity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in qubit fidelity and a documented transition path informed by operational stakeholder feedback.",Quantum,2024,108000,Cobalt Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2024-01-06T16:54:19+00:00
ONRD-2024-USEA-00232,Robust Approaches to Undersea Cable Route Surveying via Passive Acoustic Signal Processing,This effort develops passive acoustic signal processing to address persistent bathymetric uncertainty-driven challenges in undersea cable route surveying. The team will conduct a phased study combining undersea acoustic communications with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback.,Undersea,2024,242000,University of Highland,Code-32,CUI-Mock,seed-initial-2026,2024-04-08T13:57:33+00:00
ONRD-2024-AUTO-00233,Toward resilient distributed task allocation: Implications for unmanned surface vessel (USV) picket lines,This effort develops distributed task allocation to address persistent degraded communications-driven challenges in unmanned surface vessel (USV) picket lines. The team will conduct a phased study combining onboard perception-to-action pipelines with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is degraded communications; the performer will mitigate this through early prototyping and government checkpoint reviews.,Autonomy,2024,373000,University of Highland,Code-34,CUI-Mock,seed-initial-2026,2023-12-24T13:36:47+00:00
ONRD-2024-QNTM-00234,Advancing quantum error-correction code development to Improve gravimetric anomaly detection,"This effort develops quantum error-correction code development to address persistent entanglement distribution-driven challenges in gravimetric anomaly detection. The performer will design, implement, and evaluate a prototype capability, validating performance against qubit fidelity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in key generation rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is entanglement distribution; the performer will mitigate this through early prototyping and government checkpoint reviews.",Quantum,2024,937000,Pelican Defense Technologies,Code-30,CUI-Mock,seed-initial-2026,2024-07-15T11:57:42+00:00
ONRD-2024-BIOT-00235,Advancing field-deployable diagnostic assay development to Improve biofilm-resistant hull coatings,This effort develops field-deployable diagnostic assay development to address persistent field ruggedization-driven challenges in biofilm-resistant hull coatings. The team will conduct a phased study combining synthetic biology pathway engineering with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback.,Biotech,2024,245000,Vantage Advanced Systems Group,Code-32,CUI-Mock,seed-initial-2026,2024-03-08T11:50:14+00:00
ONRD-2024-AUTO-00236,Model-predictive Control for Unmanned Surface Vessel (USV) Picket Lines,"This effort develops model-predictive control to address persistent degraded communications-driven challenges in unmanned surface vessel (USV) picket lines. Research activities include algorithm development, onboard perception-to-action pipelines integration, and iterative field evaluation to quantify gains in mission completion rate. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback.",Autonomy,2024,811000,Palisade Analytics Inc.,ONR-Corporate,CUI-Mock,seed-initial-2026,2024-06-22T14:34:07+00:00
ONRD-2024-CYBR-00237,High-Fidelity Supply-chain Firmware Attestation for Shipboard Combat-system Network Hardening,This effort develops supply-chain firmware attestation to address persistent zero-day exposure-driven challenges in shipboard combat-system network hardening. The team will conduct a phased study combining secure software-defined networking with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in attack-surface reduction and a documented transition path informed by operational stakeholder feedback.,Cyber,2024,2809000,Amberfield Advanced Systems Group,Code-34,CUI-Mock,seed-initial-2026,2023-10-02T18:20:18+00:00
ONRD-2024-AUTO-00238,Phase I: Swarm Coordination Algorithms for GPS-denied Waypoint Following,"This effort develops swarm coordination algorithms to address persistent degraded communications-driven challenges in GPS-denied waypoint following. Research activities include algorithm development, model-predictive control integration, and iterative field evaluation to quantify gains in mission completion rate. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include onboard compute limits and constrained degraded communications, which will be tracked via quarterly milestone reviews.",Autonomy,2024,632000,"Ironclad Systems, Inc.",Code-32,CUI-Mock,seed-initial-2026,2024-05-07T18:58:59+00:00
ONRD-2024-DEWX-00239,Robust Approaches to Directed-energy Weapon Test-bed Evaluation via Pulsed-power System Integration,"This effort develops pulsed-power system integration to address persistent duty-cycle limits-driven challenges in directed-energy weapon test-bed evaluation. Research activities include algorithm development, thermal management for solid-state lasers integration, and iterative field evaluation to quantify gains in engagement range. Expected outcomes include a measurable improvement in engagement range and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2024,174000,Beacon Applied Research LLC,Code-31,CUI-Mock,seed-initial-2026,2024-06-01T08:48:54+00:00
ONRD-2024-DEWX-00240,Robust Approaches to Atmospheric Propagation Modeling via Adaptive Optics Wavefront Correction,"This effort develops adaptive optics wavefront correction to address persistent thermal blooming-driven challenges in atmospheric propagation modeling. Research activities include algorithm development, pulsed-power system integration integration, and iterative field evaluation to quantify gains in time-on-target. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback. Key technical risks include beam quality and constrained thermal blooming, which will be tracked via quarterly milestone reviews.",Directed Energy,2024,5000000,"Anchor Systems, Inc.",ONR-Corporate,CUI-Mock,seed-initial-2026,2024-06-29T08:31:08+00:00
